antecedents,consequents,support,confidence,lift
"PvP, Singleplayer",Multiplayer,0.1793103448275862,0.9811320754716981,1.4226415094339622
"Simulation, Co-op",Multiplayer,0.16896551724137931,0.98,1.4209999999999998
"Adventure, Singleplayer, Multiplayer",Action,0.1724137931034483,0.8064516129032259,1.4173998044965788
"Co-op, Singleplayer",Multiplayer,0.296551724137931,0.9772727272727272,1.4170454545454543
"Online Co-Op, First-Person, Multiplayer",Action,0.1,0.8055555555555556,1.4158249158249159
"Simulation, Singleplayer, Co-op",Multiplayer,0.1413793103448276,0.9761904761904762,1.4154761904761903
"Strategy, Co-op","Singleplayer, Multiplayer",0.10344827586206896,0.7692307692307693,1.4118792599805259
"Adventure, Co-op, Singleplayer",Multiplayer,0.1206896551724138,0.9722222222222223,1.4097222222222223
Co-op,"Singleplayer, Multiplayer",0.296551724137931,0.7678571428571428,1.4093580470162748
War,Multiplayer,0.11379310344827587,0.9705882352941178,1.4073529411764707
"Co-op, Singleplayer, First-Person",Multiplayer,0.11379310344827587,0.9705882352941178,1.4073529411764707
"Adventure, Co-op, Action, Singleplayer",Multiplayer,0.1103448275862069,0.9696969696969696,1.4060606060606058
"PvP, Simulation",Multiplayer,0.1103448275862069,0.9696969696969696,1.4060606060606058
"Racing, Singleplayer, Sports",Multiplayer,0.10689655172413794,0.9687500000000001,1.4046875
Casual,Simulation,0.15517241379310345,0.7258064516129032,1.4032258064516128
"Open World, Sports",Multiplayer,0.10344827586206896,0.9677419354838709,1.4032258064516128
"Co-op, Action, First-Person, Singleplayer",Multiplayer,0.10344827586206896,0.9677419354838709,1.4032258064516128
"Co-op, Sandbox",Multiplayer,0.1,0.9666666666666668,1.4016666666666668
"Action, Tactical",Multiplayer,0.1,0.9666666666666668,1.4016666666666668
"PvP, Sports",Multiplayer,0.1,0.9666666666666668,1.4016666666666668
"Multiplayer, Early Access",Simulation,0.1,0.7250000000000001,1.4016666666666668
